id,category,hindi,english_gloss,santhali,ho,mundari,pronunciation_sat,pronunciation_hoc,pronunciation_unr,verified
count_009,numbers,नौ,Nine,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
count_010,numbers,दस,Ten,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
count_011,counting,कितने हैं? गिनो,How many are there? Count them,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
count_012,counting,जोड़ो और घटाओ,Add and subtract,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
body_001,body_parts,सिर,Head,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
body_002,body_parts,आँख,Eye,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
body_003,body_parts,नाक,Nose,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
body_004,body_parts,कान,Ear,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
body_005,body_parts,हाथ,Hand,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
body_006,body_parts,पैर,Foot/Leg,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
body_007,body_parts,मुँह,Mouth,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
body_008,body_parts,बाल,Hair,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
obj_001,school_objects,किताब,Book,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
obj_002,school_objects,पेंसिल,Pencil,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
obj_003,school_objects,स्लेट,Slate,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
obj_004,school_objects,ब्लैकबोर्ड,Blackboard,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
obj_005,school_objects,बस्ता,School bag,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
obj_006,school_objects,कुर्सी,Chair,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
obj_007,school_objects,मेज़,Table,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
obj_008,school_objects,चॉक,Chalk,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
obj_009,school_objects,टिफ़िन,Lunch box,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
obj_010,school_objects,यूनिफ़ॉर्म,Uniform,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
enc_001,encouragement,बहुत अच्छा!,Very good!,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
enc_002,encouragement,शाबाश!,Well done!,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
enc_003,encouragement,कोशिश करो,Try again,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
ques_001,questions,क्या आपको समझ आया?,Did you understand?,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
ques_002,questions,किसके पास उत्तर है?,Who has the answer?,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,⟨NEEDS_REVIEW⟩,,,,0
